,Variable,SHAP_abs,Corr,Sign
0,hlth_pgm_slvrsnkr_par_status,0.0,0.0,blue
444,rx_gpi2_22_ind,0.0,0.0,blue
445,submcc_rsk_synx_ind,0.0,0.0,blue
446,submcc_rsk_coag_ind,0.0,0.0,blue
447,submcc_rsk_othr_ind,0.0,0.0,blue
448,submcc_rsk_chol_ind,0.0,0.0,blue
450,credit_bal_1stmtg_collections,0.0,0.0,blue
452,credit_bal_1stmtgcredit_60dpd,0.0,0.0,blue
443,submcc_rsk_obe_ind,0.0,0.0,blue
455,credit_bal_agencyfirstmtg_new,0.0,0.0,blue
466,credit_bal_mtg_bankruptcy,0.0,0.0,blue
471,credit_bal_nonagn1stmorg_90to119dp,0.0,0.0,blue
473,credit_bal_nonagn1stmorg_collectio,0.0,0.0,blue
495,credit_hh_nonmtgcredit_60dpd,0.0,0.0,blue
501,credit_highcrd_consumerfinance_new,0.0,0.0,blue
503,credit_minmob_agencyfirstmtg,0.0,0.0,blue
507,credit_num_1stmtg_60to89dpd,0.0,0.0,blue
457,credit_bal_autobank_new,0.0,0.0,blue
442,rx_gpi2_96_ind,0.0,0.0,blue
441,rx_gpi2_89_ind,0.0,0.0,blue
440,rx_gpi2_74_ind,0.0,0.0,blue
421,submcc_rar_par_ind,0.0,0.0,blue
422,submcc_rsk_an_ind,0.0,0.0,blue
423,submcc_rar_hem_ind,0.0,0.0,blue
424,rx_gpi2_48_ind,0.0,0.0,blue
425,betos_m1b_ind,0.0,0.0,blue
427,rx_gpi2_09_ind,0.0,0.0,blue
428,rx_gpi2_55_ind,0.0,0.0,blue
430,submcc_hiv_kapo_ind,0.0,0.0,blue
431,submcc_cad_mi_ind,0.0,0.0,blue
432,rx_gpi2_73_ind,0.0,0.0,blue
433,rx_gpi2_15_ind,0.0,0.0,blue
434,rx_gpi2_70_ind,0.0,0.0,blue
435,rx_gpi2_88_ind,0.0,0.0,blue
436,submcc_res_alg_ind,0.0,0.0,blue
437,submcc_can_lymp_ind,0.0,0.0,blue
438,submcc_mus_arth_ind,0.0,0.0,blue
439,submcc_rar_scl_ind,0.0,0.0,blue
512,credit_num_agency1stmorg_collectio,0.0,0.0,blue
513,credit_num_agencyfirstmtg_60dpd,0.0,0.0,blue
527,credit_num_nonagn1stmorg_90to119dp,0.0,0.0,blue
528,credit_num_nonagn1stmorg_bankruptc,0.0,0.0,blue
581,rx_gpi2_15_pmpm_ct,0.0,0.0,blue
582,rx_gpi2_16_pmpm_ct,0.0,0.0,blue
583,rx_gpi2_17_pmpm_ct,0.0,0.0,blue
585,rx_gpi2_19_pmpm_ct,0.0,0.0,blue
586,rx_gpi2_20_pmpm_ct,0.0,0.0,blue
589,rx_gpi2_23_pmpm_ct,0.0,0.0,blue
590,rx_gpi2_24_pmpm_ct,0.0,0.0,blue
591,rx_gpi2_25_pmpm_ct,0.0,0.0,blue
592,rx_gpi2_26_pmpm_ct,0.0,0.0,blue
593,rx_gpi2_27_pmpm_ct,0.0,0.0,blue
594,rx_gpi2_28_pmpm_ct,0.0,0.0,blue
595,rx_gpi2_29_pmpm_ct,0.0,0.0,blue
596,rx_gpi2_30_pmpm_ct,0.0,0.0,blue
597,rx_gpi2_31_pmpm_ct,0.0,0.0,blue
598,rx_gpi2_32_pmpm_ct,0.0,0.0,blue
599,rx_gpi2_33_pmpm_ct,0.0,0.0,blue
604,rx_gpi2_38_pmpm_ct,0.0,0.0,blue
580,rx_gpi2_14_pmpm_ct,0.0,0.0,blue
420,submcc_inf_myco_ind,0.0,0.0,blue
579,rx_gpi2_13_pmpm_ct,0.0,0.0,blue
577,rx_gpi2_11_pmpm_ct,0.0,0.0,blue
538,betos_d1c_pmpm_ct,0.0,0.0,blue
539,betos_d1d_pmpm_ct,0.0,0.0,blue
541,betos_m2c_pmpm_ct,0.0,0.0,blue
542,betos_m5b_pmpm_ct,0.0,0.0,blue
547,betos_o1e_pmpm_ct,0.0,0.0,blue
551,betos_t1e_pmpm_ct,0.0,0.0,blue
558,med_ip_ltach_admit_ct_pmpm,0.0,0.0,blue
559,med_ip_maternity_admit_ct_pmpm,0.0,0.0,blue
560,med_ip_mhsa_admit_ct_pmpm,0.0,0.0,blue
561,med_ip_rehab_admit_ct_pmpm,0.0,0.0,blue
562,med_ip_snf_admit_ct_pmpm,0.0,0.0,blue
569,rx_gpi2_01_pmpm_ct,0.0,0.0,blue
571,rx_gpi2_03_pmpm_ct,0.0,0.0,blue
573,rx_gpi2_05_pmpm_ct,0.0,0.0,blue
574,rx_gpi2_07_pmpm_ct,0.0,0.0,blue
575,rx_gpi2_08_pmpm_ct,0.0,0.0,blue
576,rx_gpi2_09_pmpm_ct,0.0,0.0,blue
578,rx_gpi2_12_pmpm_ct,0.0,0.0,blue
608,rx_gpi2_42_pmpm_ct,0.0,0.0,blue
419,rx_gpi2_52_ind,0.0,0.0,blue
417,submcc_rsk_fh/ho_ind,0.0,0.0,blue
357,submcc_gus_fem_ind,0.0,0.0,blue
358,submcc_rsk_fh/h_ind,0.0,0.0,blue
