,Variable,SHAP_abs,Corr,Sign
429,submcc_sor_eye_ind,0.0,0.0,blue
445,submcc_rsk_synx_ind,0.0,0.0,blue
446,submcc_rsk_coag_ind,0.0,0.0,blue
447,submcc_rsk_othr_ind,0.0,0.0,blue
448,submcc_rsk_chol_ind,0.0,0.0,blue
472,credit_bal_nonagn1stmorg_bankruptc,0.0,0.0,blue
473,credit_bal_nonagn1stmorg_collectio,0.0,0.0,blue
482,credit_hh_1stmtgcredit,0.0,0.0,blue
444,rx_gpi2_22_ind,0.0,0.0,blue
834,total_ip_rehab_admit_ct_pmpm,0.0,0.0,blue
832,total_ip_maternity_admit_ct_pmpm,0.0,0.0,blue
519,credit_num_heloc_60dpd,0.0,0.0,blue
521,credit_num_mtg_60to89dpd,0.0,0.0,blue
524,credit_num_mtg_severederog,0.0,0.0,blue
526,credit_num_nonagn1stmorg_60to89dpd,0.0,0.0,blue
538,betos_d1c_pmpm_ct,0.0,0.0,blue
539,betos_d1d_pmpm_ct,0.0,0.0,blue
833,total_ip_mhsa_admit_ct_pmpm,0.0,0.0,blue
443,submcc_rsk_obe_ind,0.0,0.0,blue
442,rx_gpi2_96_ind,0.0,0.0,blue
441,rx_gpi2_89_ind,0.0,0.0,blue
423,submcc_rar_hem_ind,0.0,0.0,blue
424,rx_gpi2_48_ind,0.0,0.0,blue
425,betos_m1b_ind,0.0,0.0,blue
426,rx_gpi2_57_ind,0.0,0.0,blue
427,rx_gpi2_09_ind,0.0,0.0,blue
428,rx_gpi2_55_ind,0.0,0.0,blue
430,submcc_hiv_kapo_ind,0.0,0.0,blue
431,submcc_cad_mi_ind,0.0,0.0,blue
432,rx_gpi2_73_ind,0.0,0.0,blue
433,rx_gpi2_15_ind,0.0,0.0,blue
434,rx_gpi2_70_ind,0.0,0.0,blue
435,rx_gpi2_88_ind,0.0,0.0,blue
436,submcc_res_alg_ind,0.0,0.0,blue
437,submcc_can_lymp_ind,0.0,0.0,blue
438,submcc_mus_arth_ind,0.0,0.0,blue
439,submcc_rar_scl_ind,0.0,0.0,blue
440,rx_gpi2_74_ind,0.0,0.0,blue
541,betos_m2c_pmpm_ct,0.0,0.0,blue
422,submcc_rsk_an_ind,0.0,0.0,blue
542,betos_m5b_pmpm_ct,0.0,0.0,blue
546,betos_o1b_pmpm_ct,0.0,0.0,blue
581,rx_gpi2_15_pmpm_ct,0.0,0.0,blue
582,rx_gpi2_16_pmpm_ct,0.0,0.0,blue
584,rx_gpi2_18_pmpm_ct,0.0,0.0,blue
585,rx_gpi2_19_pmpm_ct,0.0,0.0,blue
586,rx_gpi2_20_pmpm_ct,0.0,0.0,blue
587,rx_gpi2_21_pmpm_ct,0.0,0.0,blue
588,rx_gpi2_22_pmpm_ct,0.0,0.0,blue
580,rx_gpi2_14_pmpm_ct,0.0,0.0,blue
589,rx_gpi2_23_pmpm_ct,0.0,0.0,blue
591,rx_gpi2_25_pmpm_ct,0.0,0.0,blue
592,rx_gpi2_26_pmpm_ct,0.0,0.0,blue
594,rx_gpi2_28_pmpm_ct,0.0,0.0,blue
595,rx_gpi2_29_pmpm_ct,0.0,0.0,blue
596,rx_gpi2_30_pmpm_ct,0.0,0.0,blue
597,rx_gpi2_31_pmpm_ct,0.0,0.0,blue
598,rx_gpi2_32_pmpm_ct,0.0,0.0,blue
590,rx_gpi2_24_pmpm_ct,0.0,0.0,blue
579,rx_gpi2_13_pmpm_ct,0.0,0.0,blue
578,rx_gpi2_12_pmpm_ct,0.0,0.0,blue
577,rx_gpi2_11_pmpm_ct,0.0,0.0,blue
547,betos_o1e_pmpm_ct,0.0,0.0,blue
548,betos_o1g_pmpm_ct,0.0,0.0,blue
550,betos_t1b_pmpm_ct,0.0,0.0,blue
551,betos_t1e_pmpm_ct,0.0,0.0,blue
557,med_ip_acute_admit_ct_pmpm,0.0,0.0,blue
558,med_ip_ltach_admit_ct_pmpm,0.0,0.0,blue
559,med_ip_maternity_admit_ct_pmpm,0.0,0.0,blue
560,med_ip_mhsa_admit_ct_pmpm,0.0,0.0,blue
561,med_ip_rehab_admit_ct_pmpm,0.0,0.0,blue
562,med_ip_snf_admit_ct_pmpm,0.0,0.0,blue
565,med_urgent_care_visit_ct_pmpm,0.0,0.0,blue
569,rx_gpi2_01_pmpm_ct,0.0,0.0,blue
571,rx_gpi2_03_pmpm_ct,0.0,0.0,blue
572,rx_gpi2_04_pmpm_ct,0.0,0.0,blue
574,rx_gpi2_07_pmpm_ct,0.0,0.0,blue
575,rx_gpi2_08_pmpm_ct,0.0,0.0,blue
576,rx_gpi2_09_pmpm_ct,0.0,0.0,blue
831,total_ip_ltach_admit_ct_pmpm,0.0,0.0,blue
421,submcc_rar_par_ind,0.0,0.0,blue
420,submcc_inf_myco_ind,0.0,0.0,blue
419,rx_gpi2_52_ind,0.0,0.0,blue
357,submcc_gus_fem_ind,0.0,0.0,blue
358,submcc_rsk_fh/h_ind,0.0,0.0,blue
359,rx_gpi2_13_ind,0.0,0.0,blue
360,submcc_inj_org_ind,0.0,0.0,blue
361,submcc_mus_othr_ind,0.0,0.0,blue
362,rx_gpi2_67_ind,0.0,0.0,blue
363,submcc_rsk_pcos_ind,0.0,0.0,blue
356,submcc_vco_care_ind,0.0,0.0,blue
364,submcc_pre_ect_ind,0.0,0.0,blue
366,submcc_cir_hbp_ind,0.0,0.0,blue
367,submcc_skn_othr_ind,0.0,0.0,blue
368,submcc_hdz_myop_ind,0.0,0.0,blue
369,submcc_vco_othr_ind,0.0,0.0,blue
370,rx_gpi2_76_ind,0.0,0.0,blue
371,rx_gpi2_46_ind,0.0,0.0,blue
372,submcc_vco_exam_ind,0.0,0.0,blue
365,rx_gpi2_38_ind,0.0,0.0,blue
355,submcc_res_fail_ind,0.0,0.0,blue
353,rx_gpi2_28_ind,0.0,0.0,blue
352,submcc_gus_male_ind,0.0,0.0,blue
333,rx_gpi2_50_ind,0.0,0.0,blue
335,submcc_rar_lup_ind,0.0,0.0,blue
337,submcc_trm_fxu_ind,0.0,0.0,blue
338,rx_gpi2_72_ind,0.0,0.0,blue
339,submcc_end_meta_ind,0.0,0.0,blue
340,submcc_pre_com_ind,0.0,0.0,blue
341,rx_generic_ind,0.0,0.0,blue
342,submcc_hiv_pcp_ind,0.0,0.0,blue
343,rx_gpi2_85_ind,0.0,0.0,blue
344,submcc_end_nutr_ind,0.0,0.0,blue
345,submcc_res_inf_ind,0.0,0.0,blue
346,submcc_end_othr_ind,0.0,0.0,blue
347,submcc_ano_gu_ind,0.0,0.0,blue
348,rx_gpi2_24_ind,0.0,0.0,blue
349,submcc_rar_pol_ind,0.0,0.0,blue
350,submcc_can_dig_ind,0.0,0.0,blue
351,submcc_trm_skul_ind,0.0,0.0,blue
373,rx_gpi2_39_ind,0.0,0.0,blue
374,betos_t1e_ind,0.0,0.0,blue
375,submcc_men_schz_ind,0.0,0.0,blue
376,submcc_sns_othr_ind,0.0,0.0,blue
400,rx_gpi2_68_ind,0.0,0.0,blue
401,submcc_pre_mul_ind,0.0,0.0,blue
402,submcc_cad_ptca_ind,0.0,0.0,blue
403,submcc_dig_p/b_ind,0.0,0.0,blue
404,rx_gpi2_98_ind,0.0,0.0,blue
405,rx_gpi2_20_ind,0.0,0.0,blue
406,rx_gpi2_07_ind,0.0,0.0,blue
409,submcc_inf_othr_ind,0.0,0.0,blue
410,submcc_dig_liv_ind,0.0,0.0,blue
411,submcc_gus_kub_ind,0.0,0.0,blue
824,submcc_vco_care_pmpm_ct,0.0,0.0,blue
413,submcc_dia_othr_ind,0.0,0.0,blue
414,submcc_cer_hem_ind,0.0,0.0,blue
415,submcc_ben_othr_ind,0.0,0.0,blue
416,submcc_inj_drug_ind,0.0,0.0,blue
417,submcc_rsk_fh/ho_ind,0.0,0.0,blue
418,betos_y2_ind,0.0,0.0,blue
399,submcc_hdz_valv_ind,0.0,0.0,blue
601,rx_gpi2_35_pmpm_ct,0.0,0.0,blue
398,rx_gpi2_80_ind,0.0,0.0,blue
396,rx_gpi2_37_ind,0.0,0.0,blue
377,rx_gpi2_03_ind,0.0,0.0,blue
378,rx_maint_ind,0.0,0.0,blue
379,rx_gpi2_82_ind,0.0,0.0,blue
381,submcc_rar_mg_ind,0.0,0.0,blue
382,submcc_trm_f/n_ind,0.0,0.0,blue
383,submcc_pre_l/d_ind,0.0,0.0,blue
384,submcc_pre_care_ind,0.0,0.0,blue
385,rx_gpi2_77_ind,0.0,0.0,blue
386,submcc_mus_inf_ind,0.0,0.0,blue
387,submcc_vco_vac_ind,0.0,0.0,blue
389,submcc_rsk_glu_ind,0.0,0.0,blue
390,submcc_can_brst_ind,0.0,0.0,blue
391,submcc_skn_inf_ind,0.0,0.0,blue
392,submcc_bld_anem_ind,0.0,0.0,blue
393,betos_o1g_ind,0.0,0.0,blue
394,submcc_ano_dig_ind,0.0,0.0,blue
395,submcc_mus_atrp_ind,0.0,0.0,blue
836,total_ip_rehab_admit_days_pmpm,0.0,0.0,blue
332,rx_gpi2_21_ind,0.0,0.0,blue
602,rx_gpi2_36_pmpm_ct,0.0,0.0,blue
604,rx_gpi2_38_pmpm_ct,0.0,0.0,blue
