iter	Logloss
0	0.5747283243
1	0.4959309412
2	0.4516546627
3	0.4254464596
4	0.404911125
5	0.3928497155
6	0.3849704724
7	0.3789661157
8	0.3746824734
9	0.3715339217
10	0.3689461899
11	0.367412314
12	0.3660702846
13	0.3647873445
14	0.363740865
15	0.3627420018
16	0.3618227669
17	0.361169112
18	0.3605025236
19	0.3599550556
20	0.3592599424
21	0.3586506515
22	0.3581064094
23	0.3575565433
24	0.3570226412
25	0.3564740727
26	0.3561423095
27	0.3555739821
28	0.3553085268
29	0.3550113717
30	0.3546095817
31	0.3541961891
32	0.3538655298
33	0.3534789088
34	0.3531050288
35	0.3528077791
36	0.3525109082
37	0.3521311666
38	0.3516432567
39	0.3512243379
40	0.3507970531
41	0.3503809504
42	0.3501169869
43	0.3498180903
44	0.3495009619
45	0.3492287136
46	0.3489588348
47	0.3485999827
48	0.3484776941
49	0.3482142968
50	0.3478726986
51	0.3476370529
52	0.3473565962
53	0.3470707043
54	0.3467800604
55	0.3465973744
56	0.3462655918
57	0.3459910254
58	0.3456333186
59	0.3454041321
60	0.3451091626
61	0.3447968488
62	0.3444211217
63	0.3440680744
64	0.3435892615
65	0.3433009543
66	0.3429559506
67	0.3427368386
68	0.342269128
69	0.3420832949
70	0.3416379956
71	0.3415230026
72	0.3411666383
73	0.3408028091
74	0.3404438195
75	0.34003046
76	0.3396682514
77	0.3391384278
78	0.338677043
79	0.3382766606
80	0.3379554029
81	0.3375493237
82	0.3372852669
83	0.3370135479
84	0.3366660222
85	0.3362768098
86	0.3358562267
87	0.3354225232
88	0.3350916204
89	0.3348383216
90	0.3343242185
91	0.3339600607
92	0.3337219066
93	0.3333086903
94	0.3329400959
95	0.332902117
96	0.3323796182
97	0.3320766956
98	0.3316878702
99	0.3313646291
100	0.3309551585
101	0.3305847268
102	0.3303265823
103	0.3299031652
104	0.3294397849
105	0.3291159209
106	0.3288457427
107	0.3283924925
108	0.328061564
109	0.3276796874
110	0.3274308393
111	0.3270477969
112	0.3267355715
113	0.3265112497
114	0.3261397868
115	0.3257478913
116	0.3255321361
117	0.3251562891
118	0.3249742579
119	0.3246181712
120	0.324435145
121	0.3241001549
122	0.3237181552
123	0.3235428416
124	0.323280536
125	0.3229487812
126	0.3225311874
127	0.3225037419
128	0.3220667745
129	0.3217100166
130	0.3214223795
131	0.3210238181
132	0.3206423106
133	0.3203250635
134	0.3200053444
135	0.3197951345
136	0.3195464924
137	0.3193078888
138	0.3189146239
139	0.318411584
140	0.3182313597
141	0.3178466317
142	0.317665258
143	0.3173210928
144	0.3170928737
145	0.3167386195
146	0.3163848399
147	0.3162083682
148	0.3157734888
149	0.3154048014
