iter	Passed	Remaining
0	307	45835
1	517	38269
2	698	34249
3	876	31983
4	1066	30923
5	1282	30783
6	1484	30334
7	1679	29804
8	1902	29806
9	2116	29626
10	2316	29274
11	2528	29081
12	2744	28927
13	2978	28935
14	3196	28771
15	3404	28514
16	3613	28267
17	3803	27890
18	4013	27671
19	4209	27363
20	4435	27245
21	4628	26931
22	4825	26642
23	5014	26325
24	5210	26054
25	5383	25675
26	5586	25450
27	5785	25209
28	5958	24859
29	6126	24506
30	6323	24273
31	6511	24011
32	6692	23727
33	6875	23456
34	7080	23265
35	7262	22998
36	7436	22712
37	7625	22476
38	7808	22224
39	7992	21978
40	8200	21800
41	8381	21552
42	8560	21302
43	8732	21036
44	8913	20797
45	9112	20603
46	9301	20384
47	9491	20168
48	9653	19898
49	9824	19648
50	10019	19450
51	10199	19221
52	10374	18987
53	10549	18754
54	10722	18521
55	10891	18282
56	11076	18071
57	11270	17876
58	11458	17673
59	11624	17436
60	11789	17200
61	11967	16985
62	12143	16769
63	12326	16564
64	12516	16367
65	12693	16155
66	12874	15949
67	13078	15770
68	13266	15573
69	13434	15353
70	13616	15150
71	13777	14925
72	13954	14719
73	14146	14528
74	14327	14327
75	14512	14130
76	14696	13932
77	14891	13746
78	15080	13553
79	15259	13351
80	15439	13152
81	15622	12954
82	15800	12754
83	15971	12549
84	16157	12355
85	16373	12185
86	16549	11983
87	16732	11788
88	16920	11596
89	17097	11398
90	17295	11213
91	17486	11024
92	17658	10823
93	17841	10629
94	18027	10437
95	18189	10231
96	18396	10051
97	18566	9851
98	18756	9662
99	18941	9470
100	19134	9282
101	19332	9097
102	19511	8903
103	19700	8713
104	19885	8522
105	20056	8325
106	20228	8129
107	20428	7944
108	20602	7749
109	20778	7555
110	20947	7359
111	21147	7174
112	21338	6986
113	21510	6792
114	21696	6603
115	21890	6416
116	22069	6224
117	22268	6038
118	22438	5845
119	22613	5653
120	22788	5461
121	22997	5278
122	23181	5088
123	23375	4901
124	23554	4710
125	23748	4523
126	23929	4333
127	24090	4140
128	24286	3953
129	24481	3766
130	24648	3574
131	24835	3386
132	25029	3199
133	25203	3009
134	25390	2821
135	25560	2631
136	25725	2441
137	25919	2253
138	26127	2067
139	26312	1879
140	26487	1690
141	26665	1502
142	26831	1313
143	27021	1125
144	27204	938
145	27380	750
146	27571	562
147	27740	374
148	27932	187
149	28130	0
